Code ISO 3,?????,????,ENG id,ESP id,FR id,Forest area (sq. km) 2011 VIRGULE,Forest area (sq. km) 2012 VIRGULE,Forest area (sq. km) 2011 POINT,Forest area (sq. km) 2012 POINT
MEA,????? ?????? ????? ??????? ?(???? ??????? ?????),???????(??????),Middle East & North Africa (all income levels),Oriente Medio y Norte de África (todos los niveles de ingreso),Afrique du Nord et Moyen-Orient (tous niveaux de revenu),"225878,4","226131,4",225878.4,226131.4
MEX,???????,???,Mexico,México,Mexique,646468,644916,646468,644916
MHL,??? ??????,?????,Marshall Islands,Islas Marshall,Îles Marshall,"126,4","126,4",126.4,126.4
MIC,????? ??????? ?????? ?????,??????,Middle income, Ingreso mediano,Revenu intermédiaire,"17576528,8","16998134,6",17576528.8,16998134.6
MKD,??????? ??????? ?????????? ???????,?????,"Macedonia, FYR",Ex República Yugoslava de Macedonia,"Macédoine, ex-République yougoslave de",10026,10072,10026,10072
MLI,????,??,Mali,Malí,Mali,124110,123320,124110,123320
MLT,?????,???,Malta,Malta,Malte,3,3,3,3
MMR,???????,??,Myanmar,Myanmar,Myanmar,314634,311538,314634,311538
MNA,????? ?????? ????? ???????,??&??,Middle East & North Africa (developing only),Oriente Medio y Norte de África,Moyen-Orient et Afrique du Nord,"211294,5","211537,3",211294.5,211537.3
MNE,??????? ????? ??????,??,Montenegro,Montenegro,Monténégro,5430,5430,5430,5430
MNG,???????,??,Mongolia,Mongolia,Mongolie,108160,107340,108160,107340
MNP,???????,???????,Northern Mariana Islands,Mariana,Mariannes,"301,5","299,9",301.5,299.9
MOZ,????????,????,Mozambique,Mozambique,Mozambique,388106,385992,388106,385992
MRT,?????????,?????,Mauritania,Mauritania,Mauritanie,2370,2320,2370,2320
MUS,????????,????,Mauritius,Mauricio,Maurice,"350,2","350,4",350.2,350.4
MWI,?????,???,Malawi,Malawi,Malawi,32040,31710,32040,31710
MYS,???????,????,Malaysia,Malasia,Malaisie,203692,202824,203692,202824
NAC,?????? ????????,??,North America,América del Norte,Amérique du Nord,6145398,6149226,6145398,6149226
NAM,???????,????,Namibia,Namibia,Namibie,72158,71416,72158,71416
NCL,????????? ???????,??????,New Caledonia,Nueva Caledonia,Nouvelle-Calédonie,8390,8390,8390,8390
NER,??????,???,Niger,Níger,Niger,11916,11792,11916,11792
NGA,???????,????,Nigeria,Nigeria,Nigéria,86314,82218,86314,82218
NIC,?????????,????,Nicaragua,Nicaragua,Nicaragua,30440,29740,30440,29740
NLD,??????,??,Netherlands,Países Bajos,Pays-Bas,3650,3650,3650,3650
NOC,??????? ????? ?????: ??????? ??? ??????? ?? ????? ??????? ???????? ?? ??????? ?????????,??????????,High income: nonOECD,Ingreso alto: No miembros de OCDE,Revenu élevé : non OCDE,"8995380,1","8991384,1",8995380.1,8991384.1
NOR,???????,??,Norway,Noruega,Norvège,101414,102178,101414,102178
NPL,?????,???,Nepal,Nepal,Népal,36360,36360,36360,36360
NZL,?????????,???,New Zealand,Nueva Zelandia,Nouvelle-Zélande,82606,82522,82606,82522
OEC,??????? ????? ?????: ????? ??????? ???????? ?? ??????? ?????????,?????????,High income: OECD,Ingreso alto: Miembros de OCDE,Revenu élevé : OCDE,"9712894,9","9712482,5",9712894.9,9712482.5
OED,??????? ???? ???????,??????,OECD members,Miembros OCDE,Pays membres de l'OCDE,"10473890,9","10473114,5",10473890.9,10473114.5
OMN,????,??,Oman,Omán,Oman,20,20,20,20
OSS, ????? ??????? ??????,????,Other small states,Otros Estados pequeos,Autres petits états,"498982,1","496903,3",498982.1,496903.3
PAK,???????,????,Pakistan,Pakistán,Pakistan,16440,16010,16440,16010
PAN,????,???,Panama,Panamá,Panama,32392,32274,32392,32274
PER,????,??,Peru,Perú,Pérou,678420,676920,678420,676920
PHL,???????,???,Philippines,Filipinas,Philippines,77198,77746,77198,77746
PLW,?????,??,Palau,Palau,Palaos,403,403,403,403
PNG,????? ????? ???????,???????,Papua New Guinea,Papua Nueva Guinea,Papouasie-Nouvelle-Guinée,285838,284416,285838,284416
POL,??????,??,Poland,Polonia,Pologne,93644,93918,93644,93918
PRI,????? ????,????,Puerto Rico,Puerto Rico,Porto Rico,5608,5696,5608,5696
PRK,??????? ????? ??????????? ???????,???????????,"Korea, Dem. Rep.","Corea, República Popular Democrática de","Corée, République démocratique de",55394,54128,55394,54128
PRT,????????,???,Portugal,Portugal,Portugal,34598,34636,34598,34636
PRY,????????,???,Paraguay,Paraguay,Paraguay,174034,172248,174034,172248
PSS,??? ??? ?????? ??????? ???????,?????,Pacific island small states,Estados pequeos de las Islas del Pacfico,Petits états insulaires du Pacifique,"39750,5","39728,7",39750.5,39728.7
PYF,????????? ????????,???????,French Polynesia,Polinesia Francesa,Polynésie française,1600,1650,1600,1650
QAT,???,???,Qatar,Qatar,Qatar,0,0,0,0
ROU,???????,????,Romania,Rumania,Roumanie,66094,66458,66094,66458
RUS,?????,?????,Russian Federation,Federación de Rusia,Fédération de Russie,8091500,8092100,8091500,8092100
RWA,??????,???,Rwanda,Rwanda,Rwanda,4450,4550,4450,4550
SAS,???? ????,??,South Asia,Asia meridional,Asie du Sud,817545,818501,817545,818501
SAU,??????? ??????? ????????,?????,Saudi Arabia,Arabia Saudita,Arabie saoudite,9770,9770,9770,9770
SDN,???????,??,Sudan,Sudán,Soudan,"550752,1",,550752.1,
SEN,???????,????,Senegal,Senegal,Sénégal,84330,83930,84330,83930
SGP,????????,???,Singapore,Singapur,Singapour,23,23,23,23
SLB,??? ??????,?????,Solomon Islands,Islas Salomón,Îles Salomon,22074,22018,22074,22018
SLE,????????,????,Sierra Leone,Sierra Leona,Sierra Leone,27064,26868,27064,26868
SLV,?????????,????,El Salvador,El Salvador,El Salvador,2826,2782,2826,2782
SMR,??? ??????,????,San Marino,San Marino,Saint-Marin,0,0,0,0
SOM,???????,???,Somalia,Somalia,Somalie,66702,65934,66702,65934
SRB,?????,????,Serbia,Serbia,Serbie,27604,28078,27604,28078
SSA,??????? ???? ???????,???????,Sub-Saharan Africa (developing only),África al sur del Sahara,Afrique subsaharienne,"6606030,1","5873663,3",6606030.1,5873663.3
SSD,???? ???????,???,South Sudan,Sudán del Sur,Soudan du Sud,"148195,9",,148195.9,
