ID,Name
920460110,LES GROUX
920460111,LE CLOS
920460108,LES SABLONNIERES
920460102,NORD
920460105,CENTRE
920480208,VAL FLEURY 2
920480206,LE CENTRE 2
920480106,MEUDON LA FORET 6
920480105,MEUDON LA FORET 5
920480212,LE CENTRE 5
920480210,LE CENTRE 3
920480209,VAL FLEURY 3
920480102,MEUDON LE FORET 2
920480203,BAS MEUDON 1
920480107,FORET DOMANIALE
920480202,BELLEVUE 2
920480104,MEUDON LA FORET 4
920480211,LE CENTRE 4
920480207,VAL FLEURY 1
920480101,MEUDON LA FORET 1
920480204,BAS MEUDON 2
920480201,BELLEVUE 1
920480205,LE CENTRE 1
920480103,MEUDON LA FORET 3
920490116,RENAUDEL
920490107,RAYMOND QUENEAU
920490101,CENTRE ADMINISTRATIF-MAIRIE
920490102,PERI-BROSSOLETTE
920490117,STADE
920490105,JEAN JAURES
920490115,CHATILLON-MONTROUGE
920490111,BOILEAU
920490110,ARISTIDE BRIAND
920490114,HAUT-MESNIL
920490112,LE FORT
920490103,CAMILLE PELLETAN
920490106,BIBLIOTHEQUE MUNICIPALE
920490104,MARCELIN BERTHELOT
920490108,DISPENSAIRE
920490109,PISCINE
920490113,JULES FERRY
920500301,LENINE JOFFRE
920500501,ARLEQUIN
920500406,CATHEDRALE
920500102,CLEMENCEAU
920500403,BARBET
920500702,CANIBOUTS
920500503,FONTENELLES DECOUR
920500101,CHENEVREUX
920500303,LANGEVIN
920500510,CENTRAL PARK
920500602,PROVINCES FRANCAISES
920500502,DEMOISELLES D'AVIGNON
920500504,FONTENELLES GALLOIS
920500803,ZILINA HENRI MARTIN
920500801,PATHELOT ROUGET DE L'ISLE
920500802,KOMAROV
920500508,PICASSO COLOMBE
920500205,DAMADES LA SOURCE
920500206,SUISSES BOULE
920500103,HAUT PLATEAU
920500204,GARCHES
920500302,GOULVENTS
920500804,ACACIAS OUEST
920500605,LES GROUES-PREFECTURE
920500601,ANATOLE FRANCE
920500511,RAVEL LIBERTE VALLONA
920500703,PAQUERETTES EST
920500505,CHAMPS AUX MELLES
920500408,JOLIOT BOULE
920500805,ACACIAS EST
920500606,BERTHELOT SUD ET NORD
920500407,HOTEL DE VILLE
920500607,UNIVERSITE GROUES
920500203,SAINT-CLOUD
920500509,CHAMPS PIERREUX
920500401,GARE
920500701,HOPITAL
920500704,PAQUERETTES OUEST
920510306,PLAINE DES SABLONS 6
920510409,PARC DE NEUILLY 9
920510309,PLAINE DES SABLONS 9
920510410,PARC DE NEUILLY 10
920510407,PARC DE NEUILLY 7
920510305,PLAINE DES SABLONS 5
920510402,PARC DE NEUILLY 2
920510411,PARC DE NEUILLY 11
920510307,PLAINE DES SABLONS 7
920510405,PARC DE NEUILLY 5
920510104,SAINT-JAMES MADRID 3
920510302,PLAINE DES SABLONS 2
920510308,PLAINE DES SABLONS 8
920510101,SAINT-JAMES
920510403,PARC DE NEUILLY 3
920510301,PLAINE DES SABLONS 1
920510304,PLAINE DES SABLONS 4
920510401,PARC DE NEUILLY 1
920510404,PARC DE NEUILLY 4
920510408,PARC DE NEUILLY 8
920510406,PARC DE NEUILLY 6
920510303,PLAINE DES SABLONS 3
920510201,CHARLES LAFFITTE 1
920510202,CHARLES LAFFITTE 2
920510102,SAINT-JAMES MADRID 1
920510103,SAINT-JAMES MADRID 2
920600102,ALBERT THOMAS-MARCHE
920600107,PATRICK
920600109,ANATOLE FRANCE
920600108,JEAN JAURES
920600101,HACHETTE
920600106,WALLON
920600110,PERGAUD
920600105,JOLIOT
920600104,ARCHITECTE
920620205,BERGERE SUD
920620102,DEFENSE SUD
920620401,REPUBLIQUE 1
920620306,AGORA
920620204,WILSON 2
920620402,REPUBLIQUE 2
920620301,WALLACE 3
920620304,WALLACE 1
920620403,JAURES
920620305,SEINE 2
920620303,MAIRIE
920620202,BERGERE NORD
920620302,WALLACE 2
920620103,SEINE 1
920620201,WILSON 1
920620203,BERGERE CENTRE
920620404,FRANCE
920620101,DEFENSE NORD
920630202,MARTINETS 2
920630702,PLATEAU 2
920630707,PLATEAU 7
920630105,PLAINE_GARE 5
920630803,CENTRE VILLE 3
920630102,PLAINE_GARE 2
920630103,PLAINE_GARE 3
920630703,PLATEAU 3
920630201,MARTINETS 1
920630802,CENTRE VILLE 2
920630106,PLAINE_GARE 6
920630301,CLOSEAUX 1
920630701,PLATEAU 1
920630504,BUZENVAL 4
920630503,BUZENVAL 3
920630401,PINCE_VINS
920630704,PLATEAU 4
920630501,BUZENVAL 1
920630601,FOUILLEUSE 1
920630602,FOUILLEUSE 2
920630801,CENTRE VILLE 1
920630804,CENTRE VILLE 4
920630101,PLAINE_GARE 1
920630104,PLAINE_GARE 4
920630805,CENTRE VILLE 5
920630302,CLOSEAUX 2
920630706,PLATEAU 6
920630806,CENTRE VILLE 6
920630603,FOUILLEUSE 3
920630705,PLATEAU 5
920630502,BUZENVAL 2
920640102,VAL D'OR 1
920640108,MONTRETOUT 2
920640101,FOUILLEUSE
920640106,CENTRE 1
920640111,PASTEUR 2
920640110,PASTEUR 1
920640109,MONTRETOUT 3
920640104,COTEAUX 1
920640112,CENTRE 2
920640105,COTEAUX 2
920640103,VAL D'OR 2
920640107,MONTRETOUT 1
920710101,ROBINSON
920710103,VIEUX SCEAUX-CURIE
920710105,DESGRANGES-FONTENAY
920710107,BLAGIS
920710104,PARC DE SCEAUX
920710102,CHENEAUX SABLONS
920710108,MUSICIENS-ROOSEVELT
920710106,CENTRE
920720101,BRUYERES ACACIAS FONCEAUX
920720106,EUROPE PIERRE MIDRIN
920720109,MONESSE CROIX BOSSET
920720107,DANTON GABRIEL PERI
920720102,BRUYERES POSTILLONS JAURES VAL ALLARD
920720103,ERNEST RENAN CHATAIGNERAIE
920720110,BRANCAS FONTENELLES BEAUREGARD
920720108,MEDIATHEQUE 11 NOVEMBRE
920720105,MANUFACTURE BRIMBORION SEL DIV. LECLERC
920720104,BEAU SITE POMMERETS BINELLES
920730115,CARNOT GAMBETTA 3
920730104,PLATEAU OUEST 3
920730106,PLATEAU NORD 2
920730113,PLATEAU NORD 1
920730105,CITE JARDINS 3
920730109,CITE JARDINS 1
