ID,Name,TYPE IRIS,POP 2013,POP homme,POP femme,POP_inf19a,POP_20_64a,POP_sup65a,% homme,% femme,% inf19a,% 20_64a,% sup65a
751197302,VILLETTE 2,H,2 866,1 332,1 534,661,1 897,308,"46,48","53,52","23,06","66,19","10,75"
751197613,COMBAT 13,H,2 877,1 405,1 472,604,1 960,313,"48,84","51,16","20,99","68,13","10,88"
751197407,PONT DE FLANDRE 7,H,3 350,1 579,1 771,864,1 873,613,"47,13","52,87","25,79","55,91","18,30"
920470000,MARNES-LA-COQUETTE,Z,1 673,808,865,502,871,300,"48,30","51,70","30,01","52,06","17,93"
910270109,QUARTIER 9,H,1 647,778,869,379,1 094,174,"47,24","52,76","23,01","66,42","10,56"
910270104,QUARTIER 4,H,2 006,1 030,976,519,1 220,266,"51,35","48,65","25,87","60,82","13,26"
910270106,QUARTIER 6,H,1 854,844,1 010,386,1 023,444,"45,52","54,48","20,82","55,18","23,95"
910270112,QUARTIER 12,H,2 004,967,1 037,650,1 157,196,"48,25","51,75","32,44","57,73","9,78"
910270101,QUARTIER 1,H,1 909,895,1 014,536,1 115,257,"46,88","53,12","28,08","58,41","13,46"
910270107,QUARTIER 7,H,2 879,1 399,1 480,651,1 810,418,"48,59","51,41","22,61","62,87","14,52"
910270105,QUARTIER 5,H,2 734,1 368,1 366,597,1 639,498,"50,04","49,96","21,84","59,95","18,22"
910270108,QUARTIER 8,H,2 393,1 292,1 101,689,1 484,220,"53,99","46,01","28,79","62,01","9,19"
910270102,QUARTIER 2,H,2 367,1 126,1 241,804,1 375,188,"47,57","52,43","33,97","58,09","7,94"
910270114,QUARTIER 14,A,104,62,42,27,50,28,"59,62","40,38","25,96","48,08","26,92"
910270113,QUARTIER 13,H,2 418,1 159,1 259,644,1 443,331,"47,93","52,07","26,63","59,68","13,69"
910270111,QUARTIER 11,H,2 741,1 359,1 382,666,1 712,363,"49,58","50,42","24,30","62,46","13,24"
910270103,QUARTIER 3,H,2 391,1 171,1 220,597,1 371,424,"48,98","51,02","24,97","57,34","17,73"
910270110,QUARTIER 10,H,2 646,1 301,1 346,726,1 652,268,"49,17","50,87","27,44","62,43","10,13"
913260103,CENTRE VILLE,H,2 531,1 194,1 337,568,1 641,321,"47,18","52,82","22,44","64,84","12,68"
913260101,SEINE,H,3 679,1 741,1 938,700,2 424,556,"47,32","52,68","19,03","65,89","15,11"
913260201,TERRASSE,H,2 070,1 052,1 018,481,1 229,359,"50,82","49,18","23,24","59,37","17,34"
913260202,PLATEAU,H,5 364,2 498,2 866,1 406,3 088,871,"46,57","53,43","26,21","57,57","16,24"
913260102,ENTREVOIES,H,1 901,908,994,475,1 310,117,"47,76","52,29","24,99","68,91","6,15"
914320102,L'AVENIR,H,2 218,1 122,1 096,510,1 232,476,"50,59","49,41","22,99","55,55","21,46"
914320104,POIRIER-MARLE,H,4 372,2 141,2 231,1 117,2 579,676,"48,97","51,03","25,55","58,99","15,46"
914320101,CROIX BOISSELIERE-BLES D'OR,H,2 920,1 513,1 407,744,1 736,440,"51,82","48,18","25,48","59,45","15,07"
914320103,ORMETEAU,H,2 947,1 382,1 565,818,1 775,353,"46,90","53,10","27,76","60,23","11,98"
914790101,HENRI BARBUSSE,H,2 355,1 112,1 243,564,1 324,467,"47,22","52,78","23,95","56,22","19,83"
914790102,PIERRE LECORRE,H,2 541,1 220,1 321,610,1 456,475,"48,01","51,99","24,01","57,30","18,69"
914790104,AEROPORT ORLY,A,3,2,1,1,2,0,"66,67","33,33","33,33","66,67","0,00"
914790103,MAXIME VEDY,H,2 391,1 141,1 250,514,1 407,470,"47,72","52,28","21,50","58,85","19,66"
915890115,QUARTIER 15,H,2 345,1 121,1 223,565,1 402,378,"47,80","52,15","24,09","59,79","16,12"
915890104,QUARTIER 4,H,3 082,1 436,1 646,705,1 907,470,"46,59","53,41","22,87","61,88","15,25"
915890110,QUARTIER 10,H,2 488,1 205,1 283,561,1 512,415,"48,43","51,57","22,55","60,77","16,68"
915890116,QUARTIER 16,H,2 110,1 008,1 102,479,1 270,361,"47,77","52,23","22,70","60,19","17,11"
915890111,QUARTIER 11,H,2 229,1 070,1 159,446,1 324,460,"48,00","52,00","20,01","59,40","20,64"
915890114,QUARTIER 14,H,2 076,987,1 089,499,1 127,450,"47,54","52,46","24,04","54,29","21,68"
915890108,QUARTIER 8,H,2 181,1 132,1 049,462,1 211,508,"51,90","48,10","21,18","55,52","23,29"
915890113,QUARTIER 13,A,1 251,632,620,362,805,85,"50,52","49,56","28,94","64,35","6,79"
915890109,QUARTIER 9,H,2 559,1 216,1 343,560,1 486,512,"47,52","52,48","21,88","58,07","20,01"
915890103,QUARTIER 3,H,2 771,1 314,1 458,1 133,1 459,180,"47,42","52,62","40,89","52,65","6,50"
915890112,QUARTIER 12,H,2 647,1 303,1 344,608,1 528,511,"49,23","50,77","22,97","57,73","19,30"
915890101,QUARTIER 1,H,2 253,1 014,1 239,504,1 362,387,"45,01","54,99","22,37","60,45","17,18"
915890106,QUARTIER 6,H,2 433,1 191,1 242,455,1 588,390,"48,95","51,05","18,70","65,27","16,03"
915890107,QUARTIER 7,H,2 194,1 043,1 151,425,1 348,420,"47,54","52,46","19,37","61,44","19,14"
915890102,QUARTIER 2,H,1 954,941,1 013,621,1 117,216,"48,16","51,84","31,78","57,16","11,05"
915890105,QUARTIER 5,H,2 634,1 316,1 318,699,1 652,282,"49,96","50,04","26,54","62,72","10,71"
916870106,CENTRE VILLE 2,H,2 293,1 101,1 192,498,1 373,421,"48,02","51,98","21,72","59,88","18,36"
916870101,CHATILLON 1,H,2 250,983,1 267,457,1 240,553,"43,69","56,31","20,31","55,11","24,58"
916870103,LA CILOF 1,H,1 468,638,831,322,786,360,"43,46","56,61","21,93","53,54","24,52"
916870110,LE PLATEAU 2,H,1 368,645,723,566,697,104,"47,15","52,85","41,37","50,95","7,60"
916870102,CHATILLON 2,H,3 085,1 508,1 577,835,2 084,166,"48,88","51,12","27,07","67,55","5,38"
916870112,LE PLATEAU 4,H,2 355,1 185,1 171,614,1 405,336,"50,32","49,72","26,07","59,66","14,27"
916870109,LE PLATEAU 1,H,3 181,1 466,1 715,1 099,1 752,329,"46,09","53,91","34,55","55,08","10,34"
