ID,Census division,2011,2012,2013,2014,2015,2016,2017
4707,"Division 7, Saskatchewan",47912,48159,48273,48341,48393,48627,48779
4708,"Division 8, Saskatchewan",30672,30612,30776,30805,30711,30669,30579
4709,"Division 9, Saskatchewan",36077,36423,36499,36512,36240,36334,36375
4710,"Division 10, Saskatchewan",17908,17469,17364,17034,16827,16665,16483
4711,"Division 11, Saskatchewan",280987,291387,300813,308612,314959,324605,333521
4712,"Division 12, Saskatchewan",23795,23814,23858,24131,24232,24450,24645
4713,"Division 13, Saskatchewan",23665,23783,23756,23720,23652,23466,23243
4714,"Division 14, Saskatchewan",38033,37769,37581,37620,37371,37259,37106
4715,"Division 15, Saskatchewan",86089,86668,87224,87807,88584,89275,89872
4716,"Division 16, Saskatchewan",38846,39046,39268,39352,39237,39334,39392
4717,"Division 17, Saskatchewan",46449,47306,48225,49197,49674,49700,49597
4718,"Division 18, Saskatchewan",38329,38631,39034,39465,39800,40006,40198
4801,"Division 1, Alberta",81288,82240,83221,83849,84378,84482,84532
4802,"Division 2, Alberta",162120,164189,167385,170758,172900,174892,176735
4803,"Division 3, Alberta",39612,39761,39970,40335,40280,40452,40624
4804,"Division 4, Alberta",10338,10085,10061,9961,9906,9749,9587
4805,"Division 5, Alberta",54922,55468,56317,56965,57138,57293,57454
4806,"Division 6, Alberta",1363607,1405719,1457279,1505786,1538004,1570373,1597701
4807,"Division 7, Alberta",41408,41523,41616,41521,41366,41090,40796
4808,"Division 8, Alberta",196240,201060,206393,210781,213807,215421,216815
4809,"Division 9, Alberta",21960,21489,21791,21950,22000,21942,21869
4810,"Division 10, Alberta",95947,96780,98161,99379,99739,99300,98776
4811,"Division 11, Alberta",1250519,1282275,1325839,1369952,1399946,1427563,1451849
4812,"Division 12, Alberta",69767,70714,71908,73101,73303,73132,72928
4813,"Division 13, Alberta",70922,70656,70874,70519,70246,69830,69397
4814,"Division 14, Alberta",29577,29858,29965,30156,30042,29743,29445
4815,"Division 15, Alberta",37908,38487,39382,40189,40370,40597,40826
4816,"Division 16, Alberta",71226,73955,77309,79376,78116,75144,72155
4817,"Division 17, Alberta",63594,63919,64833,65697,65920,66154,66351
4818,"Division 18, Alberta",15038,15134,15354,15305,15308,14919,14533
4819,"Division 19, Alberta",114198,117443,120292,122836,124758,124300,123761
5901,"East Kootenay, British Columbia",57679,57956,58189,58749,59212,59447,59241
5903,"Central Kootenay, British Columbia",59297,58747,58556,58561,58841,59069,59349
5905,"Kootenay Boundary, British Columbia",31494,31554,31239,31113,31128,31415,30883
5907,"Okanagan-Similkameen, British Columbia",81639,80468,80040,80464,80880,81856,88644
5909,"Fraser Valley, British Columbia",283905,287435,290418,294426,300051,307956,311640
